epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,392.897,1.41599,1.07543,1.54703,0.69452,0.67136,0.72412,0.43965,1.46334,0.91752,1.55017,0.00027755,0.00027755,0.00027755
2,760.555,1.43135,1.14981,1.52257,0.84778,0.65198,0.72329,0.42871,1.46656,0.96953,1.55646,0.000536895,0.000536895,0.000536895
3,1113.26,1.45069,1.18302,1.53853,0.71398,0.68117,0.71106,0.4252,1.48149,0.98519,1.58124,0.000777913,0.000777913,0.000777913
4,1391.13,1.45713,1.19755,1.52683,0.73059,0.68292,0.70886,0.42944,1.45874,0.99811,1.53343,0.000750533,0.000750533,0.000750533
5,1685.87,1.43892,1.18447,1.51579,0.76456,0.66376,0.72565,0.44262,1.41781,0.96497,1.52549,0.000723044,0.000723044,0.000723044
6,1986.57,1.41633,1.15265,1.49732,0.72574,0.68748,0.72991,0.44332,1.4197,0.94379,1.50204,0.000695555,0.000695555,0.000695555
7,2281.79,1.40523,1.13805,1.48196,0.7112,0.69155,0.73282,0.45278,1.40955,0.94099,1.49614,0.000668066,0.000668066,0.000668066
8,2617.48,1.39558,1.11964,1.47105,0.68984,0.69,0.72969,0.45842,1.41406,0.9446,1.5177,0.000640577,0.000640577,0.000640577
9,2920.4,1.36929,1.09128,1.46199,0.712,0.71502,0.7408,0.46443,1.35698,0.89568,1.44912,0.000613088,0.000613088,0.000613088
10,3214.19,1.36228,1.06674,1.44815,0.76884,0.68765,0.75379,0.47469,1.36978,0.87254,1.45228,0.000585599,0.000585599,0.000585599
11,3517.38,1.35103,1.05632,1.43455,0.80386,0.74457,0.77375,0.48044,1.36689,0.84792,1.46267,0.00055811,0.00055811,0.00055811
12,3810.23,1.33991,1.03088,1.42491,0.86288,0.68947,0.75697,0.47614,1.3511,0.82366,1.4454,0.000530621,0.000530621,0.000530621
13,4120.57,1.32596,1.00911,1.41742,0.7851,0.72227,0.77513,0.48952,1.34774,0.80838,1.44012,0.000503132,0.000503132,0.000503132
14,4400.29,1.32798,1.00641,1.41737,0.79445,0.69131,0.76715,0.48523,1.34015,0.82062,1.43168,0.000475643,0.000475643,0.000475643
15,4677.24,1.31986,1.00108,1.41104,0.73244,0.71573,0.75701,0.47843,1.33665,0.82463,1.44491,0.000448154,0.000448154,0.000448154
16,4956.31,1.30111,0.97908,1.39912,0.81148,0.73353,0.79405,0.50565,1.28419,0.78026,1.39445,0.000420665,0.000420665,0.000420665
17,5236.89,1.2886,0.95763,1.38898,0.79289,0.71022,0.76856,0.5004,1.28255,0.79234,1.39697,0.000393176,0.000393176,0.000393176
18,5517.6,1.28598,0.95051,1.38207,0.76372,0.72077,0.77438,0.49089,1.31008,0.79794,1.42553,0.000365687,0.000365687,0.000365687
19,5798.58,1.27454,0.94036,1.37199,0.78772,0.72668,0.78078,0.50132,1.30059,0.75376,1.39782,0.000338198,0.000338198,0.000338198
20,6078.83,1.26249,0.92511,1.36568,0.78967,0.73438,0.77377,0.50082,1.2862,0.77823,1.40596,0.000310709,0.000310709,0.000310709
21,6358.86,1.25622,0.91445,1.35534,0.77605,0.7466,0.78685,0.51438,1.27546,0.74209,1.38084,0.00028322,0.00028322,0.00028322
22,6640.09,1.24517,0.90054,1.34626,0.80498,0.71718,0.78907,0.51444,1.27748,0.73328,1.39036,0.000255731,0.000255731,0.000255731
23,6921.5,1.24388,0.89105,1.35002,0.80908,0.74759,0.80342,0.5255,1.2636,0.72428,1.37496,0.000228242,0.000228242,0.000228242
24,7202.36,1.2259,0.86987,1.33142,0.79098,0.73937,0.78946,0.51872,1.24414,0.7336,1.34714,0.000200753,0.000200753,0.000200753
25,7482.63,1.22411,0.87192,1.32853,0.80016,0.74536,0.8013,0.52413,1.23935,0.70581,1.35168,0.000173264,0.000173264,0.000173264
26,7774.04,1.13169,0.68002,1.34589,0.79383,0.74115,0.79822,0.52465,1.23416,0.70161,1.35288,0.000145775,0.000145775,0.000145775
27,8052.43,1.11057,0.65035,1.32376,0.77021,0.79232,0.79925,0.52715,1.23316,0.69387,1.33571,0.000118286,0.000118286,0.000118286
28,8330.67,1.0955,0.63649,1.31021,0.76188,0.78053,0.79662,0.52885,1.22343,0.68062,1.3316,9.0797e-05,9.0797e-05,9.0797e-05
29,8607.89,1.0873,0.6241,1.3048,0.78934,0.76487,0.81106,0.53467,1.21546,0.67567,1.32981,6.3308e-05,6.3308e-05,6.3308e-05
30,8893.68,1.07672,0.61914,1.29587,0.78784,0.76212,0.81586,0.54277,1.20921,0.66769,1.3235,3.5819e-05,3.5819e-05,3.5819e-05
